RAYHANA SECRET;Traiteurs et organisateurs de reception;CASABLANCA;0522222481;contact@rayhana.fr;www.rayhana.fr
TAJ TRAITEUR;Traiteurs et organisateurs de reception;CASABLANCA;0619350303;traiteur.chali@gmail.com;www.afrahtaj.ma
GERIS INDUSTRIES;Traiteurs et organisateurs de reception;CASABLANCA;0522930297;contact@gerisindustries.net;www.gerisindustries.net
BENZAKOUR DEGUISEMENT;Traiteurs et organisateurs de reception;CASABLANCA;0522255454;kadoucasa@hotmail.com;www.benzakourdeguisement.com
AFRAH NISRINE;Traiteurs et organisateurs de reception;CASABLANCA;0522486547;afrah.nisrine@gmail.com;www.traiteur-afrahnisrine.com
FALAH TRAITEUR;Traiteurs et organisateurs de reception;CASABLANCA;0522472166;falahtraiteur@gmail.com;marocgastro.com
SLIM COOK;Traiteurs et organisateurs de reception;CASABLANCA;0672165442;slimdiet.cook@gmail.com;www.slimcook.ma
TRAITEUR DAR BERRADA;Traiteurs et organisateurs de reception;CASABLANCA;0638248756;dar.berrada@gmail.com;www.facebook.com/maison.berrada
CENDRILLA BOUTIQUE;Traiteurs et organisateurs de reception;CASABLANCA;0617029984;boutique.cendrilla@gmail.com;cendrilla-boutique.over-blog.com
MAROC MODUL EXPO;Traiteurs et organisateurs de reception;CASABLANCA;0522590141;marocmodulexpo@gmail.com;www.marocmodulexpo.com
LAHLOU TRAITEUR;Traiteurs et organisateurs de reception;EL JADIDA;0523393065;lahloutraiteur@yahoo.com;ww.lahloutraiteur.com
GATEAUX TRADITIONNELS MAROCAINS;Traiteurs et organisateurs de reception;EL JADIDA;0523392947;minasami@hotmail.fr;www.mina65.canalblog.com
MOGADOR DYAFA TRAITEUR;Traiteurs et organisateurs de reception;ESSAOUIRA;0662850598;mogador_dyafa_traiteur@ymail.com;www.mogador-dyafa-traiteur.over-blog.com
AFRAH EL KORTBI;Traiteurs et organisateurs de reception;FES;0535602663;contact@afrahelkortbi.com;www.afrahelkortbi.com
BENMOUSSA;Traiteurs et organisateurs de reception;FES;0522398185;benmoussa_28@hotmail.fr;www.traiteur-benmoussa.com
NEGAFA RAHMA;Traiteurs et organisateurs de reception;FES;0535616233;contact@negafa-marocaine.com;www.negafa-marocaine.com
BENYAHYA TRAITEUR;Traiteurs et organisateurs de reception;FES;0535620239;info@benyahyatraiteur.ma;benyahyatraiteur.ma
AFRAH FES;Traiteurs et organisateurs de reception;FES;0535963345;traiteurafrahfes@gmail.com;www.afrahfes.ma
EL BAHJA;Traiteurs et organisateurs de reception;FES;0535658450;mohamed@elbahja.ma;www.elbahja.ma
EL HAMMOUMI TRAITEUR;Traiteurs et organisateurs de reception;FES;0535767225;Contact@elhammoumi.com;elhammoumi.com
EL BAHJA;Traiteurs et organisateurs de reception;FES;0535658450;salles@elbahja.ma;elbahja.ma
AFRAH NAHDAT FES;Traiteurs et organisateurs de reception;FES;0535653691;afrahnahdatfes@traiteur.net;www.afrahnahdatfes.c.la
BENYAHYA TRAITEUR;Traiteurs et organisateurs de reception;FES;0535620239;info@benyahyatraiteur.ma;www.benyahyatraiteur.ma
HAND CAR;Traiteurs et organisateurs de reception;FES;0535942319;rss@locationhandcar.com;www.locationhandcar.com
FOUR M;Traiteurs et organisateurs de reception;FES;0535603287;m.a.mdaghri@gmail.com;www.facebook.com/four4m/timeline
LIGHT AGENCY;Traiteurs et organisateurs de reception;FES;0614789619;contacts@light-agency.net;www.light-agency.net
LIGHT AGENCY;Traiteurs et organisateurs de reception;FES;0614789619;contacts@light-agency.net;www.light-agency.net
FANFARE MEROUANE;Traiteurs et organisateurs de reception;FES;0534859200;association_rythmes.sefrou@hotmail.fr;www.fanfaremerouane.com
TRAITEUR BEN MASSOUD;Traiteurs et organisateurs de reception;FES;0535626875;Tbm@yahoo.com;www.traiteurbenmassaoud.ma
AFRAH FES;Traiteurs et organisateurs de reception;FES;0535625215;afrahfes2007@hotmail.fr;www.afrahfes.ma
